id,name,host_id,host_name,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,beds,price,minimum_nights,number_of_reviews,review_scores_rating,reviews_per_month
918726670218143953,Rental unit in Taito City · ★4.82 · 1 bedroom · 1 bed · 1 bath,292115979,一遊,Taito Ku,35.7077128,139.7900519,Entire rental unit,Entire home/apt,2,1,12413.0,2,11,4.82,2.29
922139278718699853,Rental unit in Shinjuku City · ★4.77 · 3 bedrooms · 4 beds · 2 baths,52348433,雅人,Shinjuku Ku,35.6984364,139.7055372,Entire rental unit,Entire home/apt,8,4,27143.0,2,13,4.77,2.25
918728884103914395,Rental unit in Itabashi City · ★4.80 · 1 bedroom · 1 bed · 1.5 baths,34155786,Ij,Itabashi Ku,35.75707,139.70351,Entire rental unit,Entire home/apt,3,1,12960.0,2,5,4.8,0.96
918960025972651640,Home in Edogawa City · 3 bedrooms · 4 beds · 1.5 shared baths,138318307,Senkei,Edogawa Ku,35.725062311106974,139.8747175809099,Private room in home,Private room,7,4,15000.0,2,1,5.0,0.2
922152716807534451,Guesthouse in Sumida City · 1 bedroom · 12 beds · 1 shared bath,521716232,Stay Work Asakusa,Sumida Ku,35.70578703152352,139.7989479763485,Shared room in guesthouse,Shared room,1,12,7357.0,1,2,3.0,0.67
922172144487988726,Home in Itabashi City · ★4.60 · 1 bedroom · 2 beds · 1.5 shared baths,184703456,Leo,Itabashi Ku,35.759133,139.702286,Private room in home,Private room,1,2,6900.0,7,4,4.6,0.73
922174067007949097,Rental unit in Chiyoda City · ★5.0 · 1 bedroom · 2 beds · 1 bath,29569793,Livmo Inc.,Chiyoda Ku,35.69225,139.77358,Entire rental unit,Entire home/apt,4,2,28429.0,1,5,5.0,1.01
922201526724818241,Home in Itabashi City · ★4.33 · 1 bedroom · 1 bed · 1.5 shared baths,184703456,Leo,Itabashi Ku,35.759133,139.702286,Private room in home,Private room,1,1,6900.0,7,2,4.33,0.39
922212558268123104,Rental unit in Shinjuku City · ★4.75 · 2 bedrooms · 3 beds · 1 bath,517818337,Netexboom Japan,Shinjuku Ku,35.70342,139.70304,Entire rental unit,Entire home/apt,6,3,58128.0,1,4,4.75,0.74
922214270048442338,Rental unit in Shinjuku City · ★5.0 · 1 bedroom · 2 beds · 1 bath,517818337,Netexboom Japan,Shinjuku Ku,35.703469124987336,139.70117702146354,Entire rental unit,Entire home/apt,6,2,58128.0,1,3,5.0,0.57
922216134314865372,Rental unit in Shinjuku City · ★4.50 · 2 bedrooms · 3 beds · 1 bath,517818337,Netexboom Japan,Shinjuku Ku,35.70346,139.70346,Entire rental unit,Entire home/apt,6,3,58128.0,1,4,4.5,0.82
922217503338900199,Home in Katsushika City · ★New · 2 bedrooms · 2 beds · 4.5 baths,70137458,基and奈保,Katsushika Ku,35.776887906546435,139.87586371600628,Private room in home,Private room,6,2,27949.0,2,1,5.0,0.94
922240247816684220,Rental unit in Toshima City · 1 bedroom · 2 beds · 1 bath,518641505,Yuki,Toshima Ku,35.727220879205774,139.7306691521457,Entire rental unit,Entire home/apt,3,2,11531.0,7,2,5.0,1.09
922251508705560932,Home in Setagaya City · 5 bedrooms · 15 beds · 1 bath,402359138,Nanami,Setagaya Ku,35.66219442609728,139.65524879620335,Entire home,Entire home/apt,12,15,34000.0,60,0,4.81,1.08
922289629589307804,Home in Ota City · ★4.82 · 3 bedrooms · 2 baths,162970600,Taka,Ota Ku,35.59205014173964,139.7169925397033,Entire home,Entire home/apt,8,5,31256.0,3,11,4.82,2.02
922301325979033941,Hotel in Taito City · ★5.0 · 3 bedrooms · 7 beds · 3 baths,292414061,Allcomein,Taito Ku,35.703893,139.778683,Room in hotel,Private room,10,7,68375.375,1,3,5.0,1.32
922369704440519787,Rental unit in Edogawa City · ★4.89 · 1 bedroom · 2 beds · 1 bath,522048296,Sua,Edogawa Ku,35.66533072431986,139.8618033101222,Entire rental unit,Entire home/apt,4,2,31429.0,2,18,4.89,3.27
922398569871328534,Rental unit in Shinjuku City · ★4.80 · Studio · 1 bed · 1 bath,517818337,Netexboom Japan,Shinjuku Ku,35.70161842536578,139.70302612224128,Entire rental unit,Entire home/apt,2,1,19606.0,1,10,4.8,2.0
922399038809541586,Rental unit in Shinjuku City · Studio · 1 bed · 1 bath,517818337,Netexboom Japan,Shinjuku Ku,35.70342,139.70315,Entire rental unit,Entire home/apt,2,1,19379.0,1,2,4.5,0.38
922399823245404031,Rental unit in Shinjuku City · ★5.0 · Studio · 1 bed · 1 bath,517818337,Netexboom Japan,Shinjuku Ku,35.70177094069528,139.7021357570194,Entire rental unit,Entire home/apt,2,1,19808.0,1,3,5.0,3.0
922400470572729072,Rental unit in Shinjuku City · Studio · 1 bed · 1 bath,517818337,Netexboom Japan,Shinjuku Ku,35.70218398866574,139.70320707434516,Entire rental unit,Entire home/apt,2,1,19581.0,1,0,4.73,1.23
922400676907923618,Rental unit in Shinjuku City · Studio · 1 bed · 1 bath,517818337,Netexboom Japan,Shinjuku Ku,35.703753412083934,139.70184406154928,Entire rental unit,Entire home/apt,2,1,19581.0,1,0,4.73,1.23
922401131292397902,Rental unit in Shinjuku City · Studio · 1 bed · 1 bath,517818337,Netexboom Japan,Shinjuku Ku,35.70243396681097,139.70330224351224,Entire rental unit,Entire home/apt,2,1,19581.0,1,0,4.73,1.23
922401137230387490,Rental unit in Shinjuku City · ★5.0 · Studio · 1 bed · 1 bath,517818337,Netexboom Japan,Shinjuku Ku,35.703391496439046,139.70152976967472,Entire rental unit,Entire home/apt,2,1,19581.0,1,5,5.0,0.96
919002962731904606,Rental unit in Taito City · ★4.88 · 1 bedroom · 2 beds · 1.5 baths,292414061,Allcomein,Taito Ku,35.70392617417012,139.77872257349873,Entire rental unit,Entire home/apt,5,2,37189.0,1,17,4.88,3.81
919057018930008990,Rental unit in Toshima City · ★4.85 · 2 bedrooms · 4 beds · 1 bath,520414037,Chihiro,Toshima Ku,35.71431,139.71676,Entire rental unit,Entire home/apt,6,4,45000.0,3,13,4.85,2.48
919078737381366563,Home in Suginami City · ★4.93 · 1 bedroom · 1 bed · 1 shared bath,36172920,Hisako,Suginami Ku,35.69711,139.62801,Private room in home,Private room,1,1,22571.0,3,15,4.93,2.68
919135493251126746,Rental unit in Ota-Ku · ★4.11 · Studio · 1 bed · 1 bath,521335304,エレガント,Ota Ku,35.57037,139.73351,Entire rental unit,Entire home/apt,2,1,10251.0,2,9,4.11,1.54
922651583585162223,Home in Sumida City · ★4.79 · 1 bedroom · 5 beds · 1 bath,522233890,Machiya 京ASAKUSA,Sumida Ku,35.72514,139.82028,Entire home,Entire home/apt,5,5,29571.0,2,14,4.79,2.51
922663400673597583,Rental unit in Toshima City · 2 bedrooms · 4 beds · 2 baths,518641505,Yuki,Toshima Ku,35.726771749966034,139.73042524005226,Entire rental unit,Entire home/apt,6,4,28072.0,3,2,3.5,0.48
922711455284771564,Rental unit in Shinjuku City · 1 bedroom · 1 bed · 1 bath,517818337,Netexboom Japan,Shinjuku Ku,35.70211864542543,139.7014770596901,Entire rental unit,Entire home/apt,2,1,19581.0,1,1,5.0,1.0
922712247877344847,Rental unit in Shinjuku City · 1 bedroom · 1 bed · 1 bath,517818337,Netexboom Japan,Shinjuku Ku,35.70323315507217,139.7013100817634,Entire rental unit,Entire home/apt,2,1,19312.0,1,0,4.73,1.23
922714032033961336,Rental unit in Shinjuku City · 1 bedroom · 1 bed · 1 bath,517818337,Netexboom Japan,Shinjuku Ku,35.70381,139.70274,Entire rental unit,Entire home/apt,2,1,19673.0,1,0,4.73,1.23
922714107257012478,Rental unit in Shinjuku City · ★4.91 · 1 bedroom · 1 bed · 1 bath,517818337,Netexboom Japan,Shinjuku Ku,35.70165962596031,139.7035306903154,Entire rental unit,Entire home/apt,2,1,19581.0,1,10,4.91,1.85
922714213109243454,Rental unit in Shinjuku City · 1 bedroom · 1 bed · 1 bath,517818337,Netexboom Japan,Shinjuku Ku,35.70210659350595,139.70312162974108,Entire rental unit,Entire home/apt,2,1,19581.0,1,0,4.73,1.23
922724438215424010,Rental unit in Edogawa City · 1 bedroom · 2 beds · 1 bath,269684336,純子,Edogawa Ku,35.699325257635685,139.8464724816412,Entire rental unit,Entire home/apt,3,2,17570.0,3,1,5.0,0.37
919137069059953241,Rental unit in Ota-Ku · ★4.56 · Studio · 1 bed · 1 bath,521335304,エレガント,Ota Ku,35.56869954575901,139.7317175641795,Entire rental unit,Entire home/apt,2,1,10251.0,2,16,4.56,3.12
919138110198652567,Rental unit in Ota-Ku · ★4.22 · Studio · 1 bed · 1 bath,521335304,エレガント,Ota Ku,35.570221164398745,139.73137777923722,Entire rental unit,Entire home/apt,2,1,9810.0,2,9,4.22,1.52
919141430257340289,Rental unit in Ota-Ku · ★4.25 · Studio · 1 bed · 1 bath,521335304,エレガント,Ota Ku,35.56834849526834,139.733165157022,Entire rental unit,Entire home/apt,2,1,10251.0,2,8,4.25,1.4
919185930030562837,Rental unit in Toshima City · 1 bedroom · 1 bed · 1 bath,221133218,Wei,Toshima Ku,35.73127,139.71816,Entire rental unit,Entire home/apt,2,1,20016.0,1,0,4.74,1.21
919220163110371734,Hotel in Shinjuku City · ★4.50 · 1 bedroom · 4 beds · 2 shared baths,476314475,Evirth,Shinjuku Ku,35.6947704,139.7023392,Room in hotel,Private room,4,4,16000.0,1,8,4.5,1.33
922873759575839340,Rental unit in Shinjuku City · ★4.42 · 1 bedroom · 3 beds · 1 bath,294322772,原,Shinjuku Ku,35.69777308275984,139.70654286277227,Entire rental unit,Entire home/apt,4,3,30000.0,2,12,4.42,2.31
919231402157803521,Hotel in Shinjuku City · ★4.44 · 1 bedroom · 4 beds · 1 bath,476314475,Evirth,Shinjuku Ku,35.6946369,139.7030838,Room in hotel,Private room,4,4,18286.0,1,9,4.44,1.99
919294204400480140,Rental unit in Sumida City · ★4.20 · 1 bedroom · 3 beds · 1.5 baths,130691030,Wison,Sumida Ku,35.7039513,139.8115391,Entire rental unit,Entire home/apt,3,3,68375.375,1,5,4.2,1.79
919382420796678506,Serviced apartment in Chuo City · 1 bedroom · 2 beds · 1 bath,4981880,Meta,Chuo Ku,35.6922069,139.7796857,Entire serviced apartment,Entire home/apt,4,2,24200.0,1,2,4.5,0.95
919442525575489328,Serviced apartment in Bunkyo City · ★4.73 · 1 bedroom · 1 bed · 1 bath,4981880,Meta,Bunkyo Ku,35.70718069999999,139.7692614,Entire serviced apartment,Entire home/apt,2,1,10001.0,1,22,4.73,3.73
919450658528789600,Serviced apartment in Bunkyo City · ★4.55 · 1 bedroom · 1 bed · 1 bath,4981880,Meta,Bunkyo Ku,35.70718069999999,139.7692614,Entire serviced apartment,Entire home/apt,2,1,10001.0,1,20,4.55,3.57
919456259639741494,Serviced apartment in Chuo City · ★4.25 · 1 bedroom · 2 beds · 1 bath,4981880,Meta,Chuo Ku,35.6922069,139.7796857,Entire serviced apartment,Entire home/apt,4,2,21983.0,1,12,4.25,2.4
919457718126960038,Serviced apartment in Bunkyo City · ★4.83 · 2 bedrooms · 3 beds · 1.5 baths,4981880,Meta,Bunkyo Ku,35.70718069999999,139.7692614,Entire serviced apartment,Entire home/apt,8,3,39557.0,1,6,4.83,1.04
922890776783200150,Hut in Sumida City · 1 bedroom · 3 beds · 1 bath,356311826,Kazuki,Sumida Ku,35.71264,139.82708,Hut,Entire home/apt,7,3,64904.0,1,2,5.0,0.43
922913056268701314,Rental unit in Minato City · ★4.87 · 1 bedroom · 3 beds · 1 bath,250003495,Yj,Minato Ku,35.655743211808414,139.73464257275063,Entire rental unit,Entire home/apt,10,3,68375.375,1,23,4.87,3.99
919491885595135371,Home in Sumida City · ★4.57 · 1 bedroom · 1 bed · 1 bath,141327897,Sky,Sumida Ku,35.70875,139.8127,Entire home,Entire home/apt,3,1,21738.0,1,7,4.57,1.45
919554399343916957,Rental unit in Shibuya City · 1 bedroom · 1 bed · 1 bath,73440763,Morio,Shibuya Ku,35.65877,139.69363,Entire rental unit,Entire home/apt,2,1,17000.0,30,1,5.0,0.77
924277076586687666,Rental unit in Nakano City · 1 bedroom · 2 beds · 1 bath,522661079,ふみ,Nakano Ku,35.70486826359567,139.67745526598532,Entire rental unit,Entire home/apt,1,2,8000.0,29,0,4.8,1.505
924307458063599859,Rental unit in Ota City · ★New · Studio · 2 beds · 1 bath,522666487,美保子,Ota Ku,35.573941558219936,139.73151964290355,Entire rental unit,Entire home/apt,3,2,11712.0,2,0,4.775,1.43
922985844281146018,Guesthouse in Sumida City · 1 bedroom · 2 beds · 1 shared bath,521716232,Stay Work Asakusa,Sumida Ku,35.70672,139.79931,Private room in guesthouse,Private room,2,2,20686.0,1,1,5.0,0.88
922995804164379418,Guesthouse in Sumida City · 1 bedroom · 4 beds · 1 shared bath,521716232,Stay Work Asakusa,Sumida Ku,35.706476687377744,139.79842749164558,Private room in guesthouse,Private room,4,4,36971.0,1,2,4.0,0.98
924315334727653300,Rental unit in Setagaya City · ★4.45 · 1 bedroom · 1 bed · 1 bath,485002537,Kouji,Setagaya Ku,35.66969,139.65323,Entire rental unit,Entire home/apt,3,1,20171.0,2,11,4.45,2.44
923012994855362460,Guesthouse in Sumida City · ★5.0 · 1 bedroom · 10 beds · 1 shared bath,521716232,Stay Work Asakusa,Sumida Ku,35.70783,139.80046,Shared room in guesthouse,Shared room,1,10,7357.0,1,4,5.0,2.14
924340394945850701,Home in Adachi City · 4 bedrooms · 8 beds · 1 bath,522673299,Ryo,Adachi Ku,35.75217930000001,139.7952457,Entire home,Entire home/apt,9,8,28000.0,4,1,4.0,0.18
923019032422012784,Rental unit in Shinjuku City · ★5.0 · Studio · 2 beds · 1 bath,522318881,Youngbae,Shinjuku Ku,35.69934193697911,139.70528668835203,Entire rental unit,Entire home/apt,3,2,23131.0,2,4,5.0,0.85
923081441056980617,Rental unit in Shinjuku City · ★5.0 · 2 bedrooms · 4 beds · 1 bath,395845114,K,Shinjuku Ku,35.69461339868623,139.71859323399136,Entire rental unit,Entire home/apt,8,4,53036.0,3,6,5.0,1.75
924341200529884725,Home in Shinjuku City · ★4.80 · 2 bedrooms · 1 bed · 1 bath,522673440,峰,Shinjuku Ku,35.7070883936501,139.6908295245369,Entire home,Entire home/apt,5,1,23286.0,2,5,4.8,0.97
923088070797984404,Rental unit in Sumida City · ★4.0 · 1 bedroom · 2 beds · 1 bath,511281402,K,Sumida Ku,35.71369,139.8184,Entire rental unit,Entire home/apt,4,2,12214.0,1,3,4.0,0.66
924362856760562611,Rental unit in Shinjuku City · ★5.0 · 2 bedrooms · 2 beds · 1 bath,522673440,峰,Shinjuku Ku,35.708275605849536,139.691352066016,Entire rental unit,Entire home/apt,5,2,23771.0,2,8,5.0,1.56
